QuestionID,Question,OptionA,OptionA_Explanation,OptionB,OptionB_Explanation,OptionC,OptionC_Explanation,OptionD,OptionD_Explanation,Answer,question.sources
36,Bước xác định bài toán trong kinh tế - kinh doanh tập trung vào điều gì?,Hiểu môi trường kinh doanh và mục tiêu chiến lược,Đúng: Bước này yêu cầu hiểu rõ mục tiêu kinh doanh và chiến lược tổ chức.,Tối ưu hóa thuật toán học máy,Sai: Tối ưu hóa thuật toán thuộc bước xây dựng mô hình.,Thu thập dữ liệu từ cảm biến,Sai: Dữ liệu từ cảm biến không phổ biến trong kinh tế.,Làm sạch dữ liệu,Sai: Làm sạch dữ liệu thuộc bước xử lý dữ liệu.,A,section_1.1.2.csv
37,Dữ liệu trong kinh tế - kinh doanh thường ở dạng nào?,"Dữ liệu dạng bảng như danh sách khách hàng, hóa đơn","Đúng: Dữ liệu kinh tế thường ở dạng bảng biểu như khách hàng, hóa đơn, số liệu tài chính.",Dữ liệu từ cảm biến và thiết bị,"Sai: Dữ liệu từ cảm biến phổ biến trong kỹ thuật, không phải kinh tế.",Dữ liệu âm thanh và hình ảnh,Sai: Dữ liệu âm thanh và hình ảnh ít được dùng trong kinh tế.,Dữ liệu chỉ ở dạng phi cấu trúc,Sai: Dữ liệu kinh tế có thể là cấu trúc hoặc phi cấu trúc.,A,section_1.1.2.csv
38,Bước khai phá dữ liệu trong kinh tế - kinh doanh sử dụng công cụ gì?,Thống kê cơ bản để tìm xu hướng và mối quan hệ,"Đúng: Khai phá dữ liệu kinh tế dùng thống kê để tìm xu hướng, mùa vụ, và quan hệ giữa các chỉ tiêu.",Công cụ xử lý hình ảnh,Sai: Xử lý hình ảnh không phổ biến trong khai phá dữ liệu kinh tế.,Công cụ nhận diện giọng nói,Sai: Nhận diện giọng nói không liên quan đến khai phá dữ liệu kinh tế.,Mô hình học sâu,Sai: Mô hình học sâu ít được dùng do thiếu tính giải thích.,A,section_1.1.2.csv
39,Bước xử lý dữ liệu trong kinh tế - kinh doanh bao gồm hoạt động nào?,"Kiểm tra và làm sạch dữ liệu bị thiếu, sai sót","Đúng: Xử lý dữ liệu kinh tế bao gồm làm sạch, quy đổi đơn vị, và chuẩn hóa dữ liệu.",Xây dựng mô hình học máy,Sai: Xây dựng mô hình là bước sau xử lý dữ liệu.,Triển khai mô hình vào hệ thống,Sai: Triển khai là bước cuối cùng.,Thu thập dữ liệu từ API,Sai: Thu thập dữ liệu là bước trước xử lý.,A,section_1.1.2.csv
40,Mô hình nào thường được dùng trong kinh tế - kinh doanh?,Hồi quy tuyến tính và cây quyết định,"Đúng: Các mô hình này đơn giản, dễ hiểu, và phù hợp với nhà quản lý.",Mạng học sâu phức tạp,Sai: Mạng học sâu ít được dùng do khó giải thích.,Mô hình xử lý tín hiệu,Sai: Xử lý tín hiệu không phổ biến trong kinh tế.,Mô hình nhận diện khuôn mặt,Sai: Nhận diện khuôn mặt không liên quan đến kinh tế.,A,section_1.1.2.csv
41,Việc đánh giá mô hình trong kinh tế - kinh doanh cần xem xét điều gì?,Cải thiện hiệu quả kinh doanh như tăng doanh thu,"Đúng: Đánh giá mô hình cần xem xét tác động thực tế như tăng doanh thu, giảm chi phí.",Chỉ độ chính xác của mô hình,Sai: Độ chính xác không đủ; cần xem xét cả ý nghĩa thực tiễn.,Tốc độ xử lý dữ liệu,Sai: Tốc độ xử lý không phải yếu tố chính trong đánh giá.,Số lượng dữ liệu thu thập,Sai: Số lượng dữ liệu không liên quan đến đánh giá mô hình.,A,section_1.1.2.csv
42,Triển khai mô hình trong kinh tế - kinh doanh thường tích hợp vào đâu?,Hệ thống báo cáo hoặc bảng điều khiển cho lãnh đạo,Đúng: Mô hình được tích hợp vào báo cáo hoặc dashboard để hỗ trợ ra quyết định.,Hệ thống điều khiển tự động,"Sai: Hệ thống điều khiển tự động phổ biến trong kỹ thuật, không phải kinh tế.",Thiết bị cảm biến,Sai: Thiết bị cảm biến không liên quan đến triển khai trong kinh tế.,Ứng dụng nhận diện âm thanh,Sai: Nhận diện âm thanh không phổ biến trong kinh tế.,A,section_1.1.2.csv
43,Tại sao dữ liệu kinh tế - kinh doanh dễ bị sai lệch?,Do kỳ vọng chủ quan và thông tin bất cân xứng,Đúng: Kỳ vọng chủ quan và thông tin bất cân xứng làm dữ liệu dễ bị sai lệch.,Do sử dụng mô hình học sâu,Sai: Mô hình học sâu không phải nguyên nhân chính của sai lệch.,Do dữ liệu luôn ổn định,Sai: Dữ liệu kinh tế không ổn định do liên quan đến hành vi con người.,Do thiếu công cụ phân tích,Sai: Công cụ phân tích không phải nguyên nhân chính.,A,section_1.1.2.csv
44,Mô hình trong kinh tế - kinh doanh cần có đặc điểm gì để được tin dùng?,Khả năng giải thích và minh bạch,Đúng: Nhà quản lý cần hiểu rõ yếu tố ảnh hưởng và mối quan hệ nhân quả.,Tính phức tạp cao,Sai: Tính phức tạp không được ưu tiên; tính giải thích quan trọng hơn.,Tốc độ xử lý nhanh,Sai: Tốc độ không phải yếu tố chính trong kinh tế.,Không cần kiến thức chuyên môn,Sai: Kiến thức chuyên môn rất cần thiết để đảm bảo tính thực tiễn.,A,section_1.1.2.csv
45,Khoa học dữ liệu trong kinh tế - kinh doanh có xu hướng tích hợp với lĩnh vực nào?,"Lý thuyết kinh tế, tài chính, và quản trị",Đúng: Khoa học dữ liệu tích hợp với các lĩnh vực này để đảm bảo tính thực tiễn.,Xử lý hình ảnh và âm thanh,Sai: Xử lý hình ảnh và âm thanh không phổ biến trong kinh tế.,Kỹ thuật phần cứng,Sai: Kỹ thuật phần cứng không liên quan đến kinh tế.,Nhận diện giọng nói,Sai: Nhận diện giọng nói không phổ biến trong kinh tế.,A,section_1.1.2.csv
46,Bước xác định bài toán trong kinh tế - kinh doanh khác với khoa học dữ liệu thông thường như thế nào?,Tập trung vào độ chính xác kỹ thuật,"Sai: Độ chính xác kỹ thuật là trọng tâm của khoa học dữ liệu thông thường, không phải kinh tế.",Yêu cầu sử dụng mô hình học sâu,Sai: Mô hình học sâu ít được dùng trong kinh tế.,Gắn với mục tiêu kinh doanh và chiến lược,Đúng: Bài toán kinh tế tập trung vào mục tiêu kinh doanh và ra quyết định chiến lược.,Không cần kiến thức chuyên môn,Sai: Kiến thức chuyên môn rất quan trọng trong kinh tế.,C,section_1.1.2.csv
47,Dữ liệu kinh tế - kinh doanh thường được thu thập từ đâu?,Dữ liệu âm thanh và video,Sai: Dữ liệu âm thanh và video không phổ biến trong kinh tế.,Cảm biến và thiết bị IoT,"Sai: Cảm biến và IoT phổ biến trong kỹ thuật, không phải kinh tế.",Hệ thống quản lý doanh nghiệp và khảo sát thị trường,"Đúng: Dữ liệu kinh tế thường đến từ hệ thống quản lý, hóa đơn, hoặc khảo sát.",Chỉ dữ liệu phi cấu trúc,Sai: Dữ liệu kinh tế có thể là cấu trúc hoặc phi cấu trúc.,C,section_1.1.2.csv
48,Khai phá dữ liệu trong kinh tế - kinh doanh giúp gì?,Xử lý tín hiệu âm thanh,Sai: Xử lý tín hiệu âm thanh không liên quan đến khai phá dữ liệu kinh tế.,Tối ưu hóa thuật toán học máy,Sai: Tối ưu hóa thuật toán thuộc bước xây dựng mô hình.,Làm sạch dữ liệu,Sai: Làm sạch dữ liệu thuộc bước xử lý dữ liệu.,"Tìm xu hướng, mùa vụ, và mối quan hệ giữa các chỉ tiêu","Đúng: Khai phá dữ liệu kinh tế tìm xu hướng, mùa vụ, và quan hệ giữa các chỉ tiêu như doanh thu, chi phí.",D,section_1.1.2.csv
49,Việc xử lý dữ liệu trong kinh tế - kinh doanh cần chú ý điều gì?,Thu thập dữ liệu từ cảm biến,Sai: Thu thập dữ liệu từ cảm biến không phổ biến trong kinh tế.,Sử dụng mô hình học sâu,Sai: Mô hình học sâu ít được dùng trong xử lý dữ liệu kinh tế.,Triển khai mô hình vào hệ thống,Sai: Triển khai là bước sau xử lý dữ liệu.,Chuẩn hóa thông tin từ nhiều nguồn và làm sạch sai sót,"Đúng: Xử lý dữ liệu kinh tế bao gồm làm sạch sai sót, quy đổi đơn vị, và chuẩn hóa dữ liệu.",D,section_1.1.2.csv
50,Tại sao đánh giá mô hình trong kinh tế - kinh doanh cần xem xét ý nghĩa thực tiễn?,Để tăng độ phức tạp của thuật toán,Sai: Độ phức tạp không phải mục tiêu trong kinh tế.,Để giảm thời gian xử lý dữ liệu,Sai: Thời gian xử lý không phải yếu tố chính trong đánh giá.,Để loại bỏ kiến thức chuyên môn,Sai: Kiến thức chuyên môn cần thiết để đánh giá ý nghĩa thực tiễn.,Để đảm bảo mô hình cải thiện hiệu quả kinh doanh,"Đúng: Mô hình cần mang lại giá trị thực tế như tăng doanh thu, giảm chi phí.",D,section_1.1.2.csv
51,Kỹ thuật dữ liệu tập trung vào lĩnh vực nào?,Thiết kế và quản trị hạ tầng dữ liệu,Đúng: Kỹ thuật dữ liệu tập trung vào xây dựng và duy trì hạ tầng dữ liệu để phục vụ phân tích.,Phân tích thống kê và trực quan hóa,"Sai: Phân tích thống kê thuộc về phân tích dữ liệu, không phải kỹ thuật dữ liệu.",Xây dựng mô hình học máy,Sai: Xây dựng mô hình học máy thuộc lĩnh vực học máy.,Diễn giải kết quả phân tích,Sai: Diễn giải kết quả thuộc phân tích dữ liệu.,A,section_1.1.3.csv
52,Vai trò chính của kỹ sư dữ liệu là gì?,Xây dựng mô hình dự đoán,Sai: Xây dựng mô hình dự đoán thuộc lĩnh vực học máy.,Thiết lập kho dữ liệu và quy trình xử lý tự động,Đúng: Kỹ sư dữ liệu xây dựng kho dữ liệu và data pipeline để đảm bảo dữ liệu sẵn sàng cho phân tích.,Phân tích xu hướng và mối quan hệ,Sai: Phân tích xu hướng thuộc phân tích dữ liệu.,Trực quan hóa dữ liệu,Sai: Trực quan hóa thuộc phân tích dữ liệu.,B,section_1.1.3.csv
53,Kỹ thuật dữ liệu đóng vai trò trung tâm ở bước nào trong chu trình khoa học dữ liệu?,Xây dựng mô hình,"Sai: Xây dựng mô hình thuộc học máy, không phải kỹ thuật dữ liệu.",Thu thập dữ liệu,Đúng: Kỹ thuật dữ liệu đảm nhận việc thu thập và hợp nhất dữ liệu từ nhiều nguồn.,Đánh giá mô hình,Sai: Đánh giá mô hình thuộc học máy và phân tích dữ liệu.,Diễn giải kết quả,Sai: Diễn giải kết quả thuộc phân tích dữ liệu.,B,section_1.1.3.csv
54,Quy trình ETL trong kỹ thuật dữ liệu có nghĩa là gì?,Extract – Transform – Load,"Đúng: ETL là quy trình trích xuất, chuyển đổi và tải dữ liệu vào kho lưu trữ.",Explore – Test – Learn,Sai: Đây không phải quy trình trong kỹ thuật dữ liệu.,Estimate – Train – Launch,Sai: Đây không phải quy trình liên quan đến kỹ thuật dữ liệu.,Extract – Test – Load,Sai: Test không phải phần của quy trình ETL.,A,section_1.1.3.csv
55,Kỹ thuật dữ liệu hỗ trợ bước khai phá dữ liệu bằng cách nào?,Thực hiện phân tích thống kê,Sai: Phân tích thống kê thuộc phân tích dữ liệu.,Xây dựng công cụ truy vấn và kho dữ liệu phân tích,Đúng: Kỹ sư dữ liệu cung cấp công cụ và hạ tầng để hỗ trợ khai phá dữ liệu.,Xây dựng mô hình học máy,Sai: Xây dựng mô hình thuộc học máy.,Diễn giải kết quả phân tích,Sai: Diễn giải thuộc phân tích dữ liệu.,B,section_1.1.3.csv
56,"Trong bước xử lý dữ liệu, kỹ thuật dữ liệu đảm nhận nhiệm vụ gì?",Chuẩn hóa định dạng và tích hợp dữ liệu,"Đúng: Kỹ thuật dữ liệu làm sạch, chuẩn hóa, và tích hợp dữ liệu từ nhiều nguồn.",Phân tích xu hướng dữ liệu,Sai: Phân tích xu hướng thuộc phân tích dữ liệu.,Huấn luyện mô hình học máy,Sai: Huấn luyện mô hình thuộc học máy.,Trình bày kết quả phân tích,Sai: Trình bày kết quả thuộc phân tích dữ liệu.,A,section_1.1.3.csv
57,Kỹ thuật dữ liệu hỗ trợ bước triển khai và giám sát như thế nào?,Xây dựng hệ thống giám sát luồng dữ liệu thời gian thực,Đúng: Kỹ thuật dữ liệu đảm bảo dòng dữ liệu ổn định và hỗ trợ giám sát mô hình.,Thực hiện phân tích thống kê mô tả,Sai: Phân tích thống kê thuộc phân tích dữ liệu.,Xây dựng mô hình dự đoán,Sai: Xây dựng mô hình thuộc học máy.,Diễn giải kết quả phân tích,Sai: Diễn giải thuộc phân tích dữ liệu.,A,section_1.1.3.csv
58,Kho dữ liệu (data warehouse) trong kỹ thuật dữ liệu có vai trò gì?,Lưu trữ và quản lý dữ liệu lớn để phân tích,Đúng: Kho dữ liệu được thiết kế để lưu trữ và quản lý dữ liệu phục vụ phân tích.,Huấn luyện mô hình học máy,Sai: Huấn luyện mô hình thuộc học máy.,Phân tích mối quan hệ giữa các biến,Sai: Phân tích mối quan hệ thuộc phân tích dữ liệu.,Trực quan hóa dữ liệu,Sai: Trực quan hóa thuộc phân tích dữ liệu.,A,section_1.1.3.csv
59,Kỹ thuật dữ liệu không bao gồm hoạt động nào?,Xây dựng data pipeline,Sai: Xây dựng data pipeline là nhiệm vụ chính của kỹ thuật dữ liệu.,Phân tích thống kê mô tả,"Đúng: Phân tích thống kê thuộc phân tích dữ liệu, không phải kỹ thuật dữ liệu.",Quản trị kho dữ liệu,Sai: Quản trị kho dữ liệu thuộc kỹ thuật dữ liệu.,Tích hợp dữ liệu từ nhiều nguồn,Sai: Tích hợp dữ liệu là nhiệm vụ của kỹ thuật dữ liệu.,B,section_1.1.3.csv
60,Hồ dữ liệu (data lake) trong kỹ thuật dữ liệu là gì?,Nơi lưu trữ dữ liệu thô từ nhiều nguồn,"Đúng: Hồ dữ liệu lưu trữ dữ liệu thô ở dạng gốc, chưa qua xử lý.",Công cụ phân tích thống kê,Sai: Phân tích thống kê thuộc phân tích dữ liệu.,Mô hình học máy,Sai: Mô hình học máy thuộc lĩnh vực học máy.,Báo cáo trực quan hóa,Sai: Trực quan hóa thuộc phân tích dữ liệu.,A,section_1.1.3.csv
61,Phân tích dữ liệu tập trung vào mục tiêu nào?,Tự động hóa quy trình thu thập dữ liệu,Sai: Tự động hóa thuộc kỹ thuật dữ liệu.,"Khám phá và diễn giải xu hướng, mối quan hệ trong dữ liệu",Đúng: Phân tích dữ liệu tập trung vào khám phá và diễn giải để hỗ trợ ra quyết định.,Xây dựng mô hình học máy phức tạp,Sai: Xây dựng mô hình thuộc học máy.,Thiết kế hạ tầng lưu trữ dữ liệu,Sai: Thiết kế hạ tầng thuộc kỹ thuật dữ liệu.,B,section_1.1.3.csv
62,Hình thức phân tích mô tả (descriptive analytics) có mục đích gì?,Tóm lược dữ liệu quá khứ để phản ánh hiện trạng,Đúng: Phân tích mô tả tóm tắt dữ liệu để hiểu những gì đã xảy ra.,Dự đoán sự kiện trong tương lai,Sai: Dự đoán thuộc phân tích dự đoán.,Gợi ý hành động tối ưu,Sai: Gợi ý hành động thuộc phân tích đề xuất.,Xây dựng mô hình học máy,Sai: Xây dựng mô hình thuộc học máy.,A,section_1.1.3.csv
63,Phân tích chẩn đoán (diagnostic analytics) tập trung vào điều gì?,Tìm nguyên nhân của các hiện tượng đã xảy ra,Đúng: Phân tích chẩn đoán lý giải tại sao một sự kiện xảy ra.,Dự đoán xác suất sự kiện tương lai,Sai: Dự đoán thuộc phân tích dự đoán.,Gợi ý hành động tối ưu,Sai: Gợi ý hành động thuộc phân tích đề xuất.,Thiết kế kho dữ liệu,Sai: Thiết kế kho dữ liệu thuộc kỹ thuật dữ liệu.,A,section_1.1.3.csv
64,Phân tích dự đoán (predictive analytics) sử dụng công cụ nào?,Mô hình thống kê để ước lượng xác suất,Đúng: Phân tích dự đoán dùng mô hình thống kê để dự báo xu hướng tương lai.,Quy trình ETL,Sai: ETL thuộc kỹ thuật dữ liệu.,Mô hình học sâu phức tạp,"Sai: Mô hình học sâu thuộc học máy, không phải phân tích dự đoán.",Hệ thống giám sát thời gian thực,Sai: Giám sát thuộc kỹ thuật dữ liệu.,A,section_1.1.3.csv
65,Phân tích đề xuất (prescriptive analytics) có mục tiêu gì?,Gợi ý hành động tối ưu dựa trên kịch bản,Đúng: Phân tích đề xuất đưa ra khuyến nghị dựa trên đánh giá các kịch bản.,Tóm lược dữ liệu quá khứ,Sai: Tóm lược thuộc phân tích mô tả.,Tìm nguyên nhân sự kiện,Sai: Tìm nguyên nhân thuộc phân tích chẩn đoán.,Xây dựng data pipeline,Sai: Xây dựng data pipeline thuộc kỹ thuật dữ liệu.,A,section_1.1.3.csv
66,Phân tích dữ liệu không bao gồm hoạt động nào?,Khám phá xu hướng và mối quan hệ,Sai: Khám phá xu hướng thuộc phân tích dữ liệu.,Tự động hóa quy trình thu thập dữ liệu,Đúng: Tự động hóa thu thập thuộc kỹ thuật dữ liệu.,Trực quan hóa dữ liệu,Sai: Trực quan hóa thuộc phân tích dữ liệu.,Diễn giải kết quả phân tích,Sai: Diễn giải thuộc phân tích dữ liệu.,B,section_1.1.3.csv
67,Bước nào trong chu trình khoa học dữ liệu là trọng tâm của phân tích dữ liệu?,Thu thập dữ liệu,Sai: Thu thập dữ liệu thuộc kỹ thuật dữ liệu.,Khai phá dữ liệu,"Đúng: Phân tích dữ liệu tập trung vào khai phá xu hướng, mối quan hệ, và đặc điểm dữ liệu.",Xây dựng mô hình học máy,Sai: Xây dựng mô hình thuộc học máy.,Triển khai mô hình,Sai: Triển khai thuộc kỹ thuật dữ liệu và học máy.,B,section_1.1.3.csv
68,Phân tích dữ liệu hỗ trợ bước xác định bài toán như thế nào?,Thực hiện phân tích sơ bộ và thống kê mô tả,Đúng: Phân tích dữ liệu giúp làm rõ mục tiêu và phạm vi phân tích thông qua phân tích sơ bộ.,Xây dựng data pipeline,Sai: Xây dựng data pipeline thuộc kỹ thuật dữ liệu.,Huấn luyện mô hình học máy,Sai: Huấn luyện mô hình thuộc học máy.,Thiết kế kho dữ liệu,Sai: Thiết kế kho dữ liệu thuộc kỹ thuật dữ liệu.,A,section_1.1.3.csv
69,"Trong bước xử lý dữ liệu, phân tích dữ liệu đóng vai trò gì?",Xây dựng mô hình học máy,Sai: Xây dựng mô hình thuộc học máy.,Đánh giá chất lượng dữ liệu và đề xuất xử lý,Đúng: Phân tích dữ liệu phát hiện bất thường và đề xuất cách xử lý dữ liệu.,Thiết kế hệ thống lưu trữ,Sai: Thiết kế hệ thống thuộc kỹ thuật dữ liệu.,Triển khai mô hình,Sai: Triển khai thuộc kỹ thuật dữ liệu và học máy.,B,section_1.1.3.csv
70,Phân tích dữ liệu hỗ trợ bước đánh giá mô hình bằng cách nào?,Xây dựng công cụ truy vấn dữ liệu,Sai: Xây dựng công cụ truy vấn thuộc kỹ thuật dữ liệu.,Đánh giá hiệu suất bằng chỉ số thống kê,Đúng: Phân tích dữ liệu dùng các chỉ số thống kê để đánh giá và diễn giải kết quả mô hình.,Huấn luyện mô hình học máy,Sai: Huấn luyện mô hình thuộc học máy.,Tự động hóa thu thập dữ liệu,Sai: Tự động hóa thuộc kỹ thuật dữ liệu.,B,section_1.1.3.csv
71,Học máy tập trung vào mục tiêu nào?,Khám phá xu hướng trong dữ liệu,Sai: Khám phá xu hướng thuộc phân tích dữ liệu.,Xây dựng mô hình tự động học từ dữ liệu,Đúng: Học máy tạo mô hình dự đoán hoặc ra quyết định dựa trên dữ liệu.,Thiết kế kho dữ liệu,Sai: Thiết kế kho dữ liệu thuộc kỹ thuật dữ liệu.,Trực quan hóa dữ liệu,Sai: Trực quan hóa thuộc phân tích dữ liệu.,B,section_1.1.3.csv
72,Học có giám sát (supervised learning) được dùng cho bài toán nào?,Phân loại email và dự đoán giá,Đúng: Học có giám sát dùng cho các bài toán như phân loại (classification) và hồi quy (regression).,Phân nhóm khách hàng,Sai: Phân nhóm thuộc học không giám sát.,Tối ưu hóa phần thưởng,Sai: Tối ưu hóa phần thưởng thuộc học tăng cường.,Thiết kế data pipeline,Sai: Thiết kế data pipeline thuộc kỹ thuật dữ liệu.,A,section_1.1.3.csv
73,Học không giám sát (unsupervised learning) có mục tiêu gì?,Dự đoán giá trị dựa trên nhãn,Sai: Dự đoán dựa trên nhãn thuộc học có giám sát.,Khám phá cấu trúc ẩn trong dữ liệu,Đúng: Học không giám sát tìm cấu trúc như phân nhóm hoặc giảm chiều dữ liệu.,Tối ưu hóa phần thưởng,Sai: Tối ưu hóa phần thưởng thuộc học tăng cường.,Xây dựng kho dữ liệu,Sai: Xây dựng kho dữ liệu thuộc kỹ thuật dữ liệu.,B,section_1.1.3.csv
74,Học tăng cường (reinforcement learning) được ứng dụng trong lĩnh vực nào?,Phân loại văn bản,Sai: Phân loại văn bản thuộc học có giám sát.,Robot học và trò chơi,"Đúng: Học tăng cường tối ưu hóa phần thưởng trong robot học, trò chơi, và chiến lược ra quyết định.",Phân tích thống kê mô tả,Sai: Phân tích thống kê thuộc phân tích dữ liệu.,Xây dựng data pipeline,Sai: Xây dựng data pipeline thuộc kỹ thuật dữ liệu.,B,section_1.1.3.csv
75,Học máy đóng vai trò chính ở bước nào trong chu trình khoa học dữ liệu?,Thu thập dữ liệu,Sai: Thu thập dữ liệu thuộc kỹ thuật dữ liệu.,Xây dựng mô hình,Đúng: Học máy tập trung vào việc chọn và huấn luyện mô hình dự đoán.,Khai phá dữ liệu,Sai: Khai phá dữ liệu thuộc phân tích dữ liệu.,Trình bày kết quả,Sai: Trình bày kết quả thuộc phân tích dữ liệu.,B,section_1.1.3.csv
76,Học máy hỗ trợ bước xử lý dữ liệu như thế nào?,Điền giá trị thiếu và thay thế giá trị ngoại lai,Đúng: Học máy có thể dùng để xử lý giá trị thiếu hoặc ngoại lai trong dữ liệu.,Xây dựng công cụ truy vấn,Sai: Xây dựng công cụ truy vấn thuộc kỹ thuật dữ liệu.,Phân tích thống kê mô tả,Sai: Phân tích thống kê thuộc phân tích dữ liệu.,Thiết kế kho dữ liệu,Sai: Thiết kế kho dữ liệu thuộc kỹ thuật dữ liệu.,A,section_1.1.3.csv
77,Học máy đánh giá mô hình dựa trên yếu tố nào?,Chỉ số thống kê và tránh khớp quá mức,Đúng: Học máy dùng chỉ số thống kê và kiểm tra để tránh hiện tượng quá khớp.,Xây dựng data pipeline,Sai: Xây dựng data pipeline thuộc kỹ thuật dữ liệu.,Trực quan hóa dữ liệu,Sai: Trực quan hóa thuộc phân tích dữ liệu.,Tự động hóa thu thập dữ liệu,Sai: Tự động hóa thuộc kỹ thuật dữ liệu.,A,section_1.1.3.csv
