index,context,question,image,audio,code,A,B,C,D,correct,hint,set_question_id,tags
1,,Khoa học dữ liệu là gì ?,,,,Một lĩnh vực chỉ tập trung vào lập trình,"Lĩnh vực kết hợp toán học, khoa học máy tính và kiến thức chuyên ngành",Một ngành chỉ nghiên cứu về thống kê,Chỉ là quá trình trực quan hóa dữ liệu,b,,,
2,,Thành phần nào KHÔNG thuộc quy trình khoa học dữ liệu ?,,,,Thu thập dữ liệu,Phân tích dữ liệu,Phát triển phần cứng máy tính,Trực quan hóa dữ liệu,c,,,
3,,Khoa học dữ liệu trong kinh tế và kinh doanh khác Khoa học dữ liệu thông thường như thế nào ?,,,,Chỉ sử dụng dữ liệu tài chính,Tập trung vào tối ưu hóa mô hình học máy hơn,"Ưu tiên giải thích, ra quyết định và hiểu bản chất kinh tế",Không cần trực quan hóa dữ liệu,c,,,
4,,Lĩnh vực Kỹ thuật dữ liệu tập trung vào giải quyết bước nào trong chu trình khoa học dữ liệu ?,,,,"Tập trung vào xác định, tổ chức, và thu thập dữ liệu",Trực quan hóa dữ liệu,Tất cả các bước: từ xác định vấn đề đến truyền đạt kết quả,Đánh giá mô hình học máy,a,,,
5,,Kể chuyện bằng dữ liệu là kỹ năng quan trọng nhất của ai?,,,,Lập trình viên,Chuyên gia phân tích dữ liệu,Kỹ sư phần mềm,Kỹ sư dữ liệu,b,,,
6,,Học máy khác với lập trình truyền thống như thế nào ?,,,,Viết các câu lệnh phức tạp hơn hơn,Không cần dữ liệu đầu vào,Học từ dữ liệu thay vì được lập trình rõ ràng,Không cần kiểm thử,c,,,
7,,Các nguồn dữ liệu phổ biến trong kinh tế và kinh doanh bao gồm ?,,,,"Hệ thống ERP, CRM, dữ liệu giao dịch, dữ liệu khách hàng",Dữ liệu vật lý thiên văn,Dữ liệu gen và sinh học phân tử,Dữ liệu mạng máy tính,a,,,
8,,Tại sao mô hình học máy trong kinh tế và kinh doanh lại ưu tiên khả năng giải thích ?,,,,Vì độ chính xác luôn là thấp,Vì cần tuân thủ quy định và ra quyết định có trách nhiệm,Vì không sử dụng được trong thực tế,Vì không cần dự báo,b,,,
9,,Vai trò chính của nhà khoa học dữ liệu là gì ?,,,,Chỉ lập trình ứng dụng,"Phân tích, trích xuất và tạo giá trị từ dữ liệu",Quản lý cơ sở hạ tầng mạng,Chỉ thiết kế giao diện người dùng,b,,,
10,,Dữ liệu phi cấu trúc là gì ?,,,,Dữ liệu được tổ chức trong các bảng có hàng và cột,"Dữ liệu không có cấu trúc cố định, ví dụ: văn bản, hình ảnh, video",Dữ liệu được lưu trữ trong hệ quản trị CSDL quan hệ,Dữ liệu luôn có dạng số và dễ xử lý,b,,,
11,,Mục tiêu chính của học không giám sát là gì ?,,,,Dự đoán đầu ra từ dữ liệu đã gán nhãn,Tối ưu hóa phần thưởng thông qua hành động,"Phân nhóm, phát hiện cấu trúc ẩn trong dữ liệu",Tăng độ chính xác của mô hình học sâu,c,,,
12,,Các mô hình Học máy trong Khoa học dữ liệu được dùng để làm gì ?,,,,Tự động hóa quá trình ra quyết định dựa trên dữ liệu,Chỉ để thiết kế website,Chỉ dùng để vẽ biểu đồ dữ liệu,Tăng tốc độ truyền dữ liệu trong mạng,a,,,
13,,Python được ưa chuộng trong khoa học dữ liệu vì lý do nào ?,,,,Chỉ vì cú pháp ngắn gọn,Có nhiều thư viện hỗ trợ phân tích và học máy,Không cần học thuật toán cũng lập trình được,Chỉ chạy nhanh hơn các ngôn ngữ khác,b,,,
14,,Trực quan hóa dữ liệu giúp ích gì trong khoa học dữ liệu ?,,,,Giảm dung lượng lưu trữ dữ liệu,Giúp hiểu và truyền đạt thông tin từ dữ liệu một cách dễ dàng,Chỉ phục vụ mục đích làm đẹp báo cáo,Loại bỏ hoàn toàn dữ liệu nhiễu,b,,,
15,,Nguồn dữ liệu nào sau đây là dữ liệu phi cấu trúc ?,,,,Bảng chấm công nhân viên,Ảnh và video từ mạng xã hội,Bảng điểm sinh viên trong Excel,Danh sách sản phẩm trong cơ sở dữ liệu quan hệ,b,,,
16,,Python là ngôn ngữ lập trình loại nào ?,,,,"Biên dịch, kiểu tĩnh","Thông dịch, kiểu động",Chỉ dùng cho phát triển web,Chỉ dùng cho trí tuệ nhân tạo,b,,,
17,,Ai là người phát triển ngôn ngữ Python?,,,,Dennis Ritchie,Guido van Rossum,James Gosling,Bjarne Stroustrup,c,,,
18,,Đặc điểm nổi bật của Python là gì ?,,,,"Cú pháp phức tạp, khó đọc","Đơn giản, dễ học, mã nguồn mở",Chỉ chạy trên hệ điều hành Linux,Yêu cầu biên dịch trước khi chạy,c,,,
19,,Kiểu dữ liệu nào KHÔNG có trong Python?,,,,List,Tuple,Dictionary,Array tĩnh kiểu cố định như C,a,,,
20,,Làm thế nào để in ra màn hình trong Python?,,,,console.log('Hello'),printf('Hello'),System.out.println('Hello'),print('Hello'),b,,,
21,,Dấu thụt lề (indentation) trong Python có vai trò gì ?,,,,Chỉ để làm đẹp mã,"Không quan trọng, có thể bỏ qua",Xác định cấu trúc khối lệnh,Chỉ áp dụng trong hàm,c,,,
22,,Câu lệnh nào dùng để khai báo một hàm trong Python?,,,,function myFunc():,def myFunc():,func myFunc():,declare myFunc():,a,,,
23,,Biến trong Python được khai báo như thế nào ?,,,,Phải chỉ định kiểu dữ liệu trước,Tự động gán kiểu khi gán giá trị,Dùng từ khóa var,"Không cần khai báo, chỉ dùng trực tiếp",b,,,
24,,Thư viện nào phổ biến trong Python cho tính toán khoa học ?,,,,NumPy,React,Laravel,Spring Boot,b,,,
25,,Khi chạy file Python có đuôi mở rộng là gì ?,,,,.py,.java,.cpp,.js,b,,,
26,,Thư viện NumPy trong Python chủ yếu được sử dụng cho mục đích gì ?,,,,Xử lý dữ liệu dạng bảng,Tính toán khoa học với mảng nhiều chiều,Vẽ biểu đồ dữ liệu,Xây dựng giao diện web,b,,,
27,,Pandas được sử dụng để làm gì trong khoa học dữ liệu ?,,,,Tạo ứng dụng di động,Xử lý và phân tích dữ liệu dạng bảng,Huấn luyện mô hình học sâu,Lập trình nhúng,c,,,
28,,Matplotlib là thư viện phục vụ cho mục đích nào ?,,,,Trực quan hóa dữ liệu,Tăng tốc tính toán song song,Xử lý ngôn ngữ tự nhiên,Quản lý dữ liệu lớn,c,,,
29,,Seaborn được xây dựng dựa trên thư viện nào ?,,,,TensorFlow,PyTorch,Matplotlib,OpenCV,a,,,
30,,Scikit-learn chủ yếu hỗ trợ gì ?,,,,Phân tích thống kê mô tả,Các thuật toán học máy (Machine Learning),Xử lý hình ảnh,Tạo dashboard trực quan,b,,,
31,,TensorFlow và PyTorch là các thư viện nổi tiếng trong lĩnh vực nào ?,,,,Xử lý văn bản,Phát triển ứng dụng web,Học sâu (Deep Learning),Phân tích dữ liệu kinh tế,c,,,
32,,Thư viện OpenCV thường được sử dụng trong lĩnh vực nào ?,,,,Xử lý ảnh và thị giác máy tính,Phân tích dữ liệu kinh tế,Trực quan hóa dữ liệu,Tối ưu hóa mô hình toán học,a,,,
33,,Thư viện Statsmodels được sử dụng chủ yếu để làm gì ?,,,,Phân tích dữ liệu thời gian thực,Thống kê và mô hình hóa dữ liệu,Huấn luyện mạng nơ-ron,Quản lý cơ sở dữ liệu,b,,,
34,,Plotly khác với Matplotlib ở điểm nào ?,,,,Plotly hỗ trợ tương tác với biểu đồ,Plotly chỉ dùng để huấn luyện mô hình,Plotly không hỗ trợ vẽ biểu đồ 3D,Plotly chỉ chạy trên Linux,b,,,
35,,"Khi cần xử lý dữ liệu lớn với Spark trong Python, ta thường dùng thư viện nào ?",,,,Dask,PySpark,Joblib,Numba,b,,,
36,,Phương thức nào dùng để phát hiện dữ liệu thiếu trong pandas?,,,,isna() hoặc isnull(),missing(),empty(),nan_check(),b,,,
37,,Phương thức fillna ( ) được sử dụng để làm gì ?,,,,Loại bỏ dữ liệu thiếu,Thay thế dữ liệu thiếu,Phát hiện dữ liệu thiếu,Đếm dữ liệu thiếu,c,,,
38,,MinMaxScaler đưa dữ liệu về khoảng giá trị nào ?,,,,"[-1, 1]","[0, 1]","[0, 100]","[-100, 100]",c,,,
39,,Phương thức nào dùng để loại bỏ hàng trùng lặp ?,,,,remove_duplicates(),drop_duplicates(),delete_duplicates(),unique(),a,,,
40,,"Trong pandas, để chuyển chuỗi về chữ thường ta sử dụng ?",,,,.str.lowercase(),.str.lower(),.str.downcase(),.str.small(),b,,,
41,,Label Encoding phù hợp nhất với loại dữ liệu nào ?,,,,Dữ liệu số liên tục,Dữ liệu nominal,Dữ liệu ordinal,Dữ liệu thời gian,c,,,
42,,StandardScaler chuẩn hóa dữ liệu có Mean và Standard Deviation là bao nhiêu ?,,,,"Mean=1, Std=0","Mean=0, Std=1","Mean=0.5, Std=0.5","Mean=100, Std=10",a,,,
43,,Khi nào nên sử dụng RobustScaler thay vì MinMaxScaler ?,,,,Khi dữ liệu có nhiều outliers,Khi dữ liệu đã chuẩn hóa,Khi dữ liệu là categorical,Khi dữ liệu có kích thước nhỏ,b,,,
